
category,skill_name,value
"AI Complementary Skills","Emotional Intelligence",95
"AI Complementary Skills","Creative Problem Solving",90
"AI Complementary Skills","Ethical Judgment",88
"AI Complementary Skills","Critical Thinking",85
"AI Complementary Skills","Interpersonal Communication",92
"AI Complementary Skills","Adaptability",87
"Vulnerable Skills","Data Entry",10
"Vulnerable Skills","Rote Calculation",5
"Vulnerable Skills","Document Search",15
"Vulnerable Skills","Basic Translation",20
"Vulnerable Skills","Text Generation",25
"Vulnerable Skills","Image Classification",30
